브랜드,모델명,이름,링크,연식,주행거리,가격
현대,싼타페,더 뉴 싼타페 2.2 디젤 2WD  프레스티지 5인승,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233254&gubun=K,2021,75180,2299
현대,싼타페,싼타페CM 2.0 디젤 2WD MLX 프리미어,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230116&gubun=K,2011,95531,740
현대,싼타페,싼타페DM 2.0 디젤 2WD  익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232537&gubun=K,2014,75070,1430
현대,싼타페,싼타페 더스타일 2.0 디젤 2WD CLX 디럭스,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233443&gubun=K,2011,87823,399
현대,싼타페,싼타페 더 프라임  2.0 디젤 2WD 익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231830&gubun=K,2017,109000,1240
현대,싼타페,싼타페TM  2.0 디젤 2WD 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232750&gubun=K,2018,60925,1880
현대,싼타페,싼타페TM  2.0 가솔린 터보 2WD 익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232395&gubun=K,2020,115459,1899
현대,싼타페,싼타페TM  2.0 디젤 2WD 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233227&gubun=K,2020,155003,1799
현대,싼타페,싼타페 더 프라임  2.0 디젤 2WD 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226240&gubun=K,2016,163000,1220
현대,싼타페,싼타페DM 2.0 디젤 4WD  프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226577&gubun=K,2013,122082,1130
현대,싼타페,싼타페 더 프라임  2.2 디젤 2WD 익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232423&gubun=K,2016,125038,1420
현대,싼타페,싼타페CM 2.0 디젤 2WD  CLX 고급형,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233690&gubun=K,2007,166700,350
현대,그랜저,그랜저HG  300 익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228700&gubun=K,2013,40000,1240
현대,그랜저,디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226873&gubun=K,2023,12000,500
현대,그랜저,디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230708&gubun=K,2023,22000,400
현대,그랜저,더 뉴 그랜저 2.5 르블랑,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233445&gubun=K,2022,49000,2970
현대,그랜저,더 뉴 그랜저  2.5 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233052&gubun=K,2020,61258,2340
현대,그랜저,디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233278&gubun=K,2023,12404,4690
현대,그랜저,그랜저IG 2.4 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2218663&gubun=K,2017,109655,1319
현대,그랜저,그랜저HG 300 프라임,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2218670&gubun=K,2012,126303,570
현대,그랜저,그랜저HG 300 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228805&gubun=K,2013,100929,599
현대,그랜저,그랜저HG 300  노블,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230064&gubun=K,2011,131820,499
현대,그랜저,그랜저IG 3.3 셀러브리티,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230384&gubun=K,2017,136074,1530
현대,그랜저,그랜저HG 300  프라임,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231052&gubun=K,2012,99221,680
현대,그랜저,그랜저HG 300  익스클루시브,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231740&gubun=K,2014,127765,599
현대,쏘나타,쏘나타 뉴 라이즈  1.6 터보 스마트,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232575&gubun=K,2018,92000,1690
현대,쏘나타,LF쏘나타  2.0 케어 플러스,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233593&gubun=K,2017,98285,1200
현대,쏘나타,LF쏘나타 2.0 LPi 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229000&gubun=K,2014,131685,1060
현대,쏘나타,LF쏘나타 2.0 LPi 프리미엄 스페셜,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2219009&gubun=K,2014,84569,870
현대,쏘나타,쏘나타 하이브리드 2.0 HEV  프리미어,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231542&gubun=K,2012,94284,680
현대,쏘나타,YF쏘나타 2.0 VVT  Y20 프리미어 고급형,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231608&gubun=K,2010,239594,230
현대,쏘나타,쏘나타 더 브릴리언트 2.0  어트랙션,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231579&gubun=K,2013,78230,820
현대,쏘나타,쏘나타 2.0  프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231583&gubun=K,2020,72744,1660
현대,쏘나타,쏘나타 DN8 2.0 인스퍼레이션,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233300&gubun=K,2019,43833,2480
현대,쏘나타,쏘나타 DN8 1.6 터보  인스퍼레이션,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233651&gubun=K,2023,9237,2990
현대,쏘나타,LF쏘나타 1.7 디젤 스마트,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232982&gubun=K,2016,150223,579
현대,쏘나타,LF쏘나타 2.0 LPi 스마트,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227644&gubun=K,2015,117000,699
현대,쏘나타,쏘나타 더 브릴리언트 2.0  프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230973&gubun=K,2013,147000,590
현대,쏘나타,LF쏘나타  1.7 디젤 스마트 스페셜,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2220223&gubun=K,2015,92411,1290
현대,쏘나타,YF쏘나타 2.0 VVT Y20 프라임 고급형,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233694&gubun=K,2010,145280,299
현대,쏘나타,쏘나타 DN8  2.0 LPi  스마트,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230644&gubun=K,2019,77729,1699
현대,쏘나타,쏘나타 1.6 터보 인스퍼레이션,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228707&gubun=K,2022,14380,2780
현대,쏘나타,YF쏘나타 2.0 VVT  Y20 프리미어 고급형,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232929&gubun=K,2010,185897,425
현대,아반떼,아반떼MD 1.6  M16 프리미어,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2223650&gubun=K,2011,228415,320
현대,아반떼,아반떼AD 1.6 모던 스페셜,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2223888&gubun=K,2016,132490,1010
현대,아반떼,아반떼MD  1.6 M16 스마트,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233587&gubun=K,2013,151890,450
현대,아반떼,올 뉴 아반떼  1.6 터보 N 라인 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226414&gubun=K,2023,13030,2280
현대,아반떼,올 뉴 아반떼 1.6 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233637&gubun=K,2020,57000,1590
현대,아반떼,아반떼AD 1.6 스마트,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229135&gubun=K,2016,115270,820
현대,아반떼,아반떼AD 1.6 스마트 스페셜,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229975&gubun=K,2015,97124,770
현대,아반떼,아반떼AD 1.6 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232089&gubun=K,2016,112037,699
현대,아반떼,더 뉴 아반떼AD 1.6 스마트 초이스,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232690&gubun=K,2018,102082,900
현대,아반떼,아반떼MD 1.6  M16 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233252&gubun=K,2012,121653,399
현대,아반떼,아반떼AD 1.6  밸류 플러스,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233678&gubun=K,2018,74322,780
현대,아반떼,아반떼MD 1.6 M16 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230444&gubun=K,2011,96385,379
현대,아반떼,올 뉴 아반떼  1.6 터보 N 라인 스포츠,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231223&gubun=K,2022,19334,2050
현대,아반떼,아반떼MD 1.6  M16 럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231529&gubun=K,2012,80704,560
현대,아반떼,아반떼 N 2.0 터보,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230885&gubun=K,2021,41875,2790
현대,아반떼,아반떼 N 2.0 터보,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232904&gubun=K,2021,32371,2750
현대,아반떼,아반떼 N 2.0 터보,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233140&gubun=K,2023,42970,2850
현대,아반떼,아반떼MD 1.6  M16 프리미어,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233720&gubun=K,2012,97768,389
현대,아이오닉5,아이오닉5  롱레인지 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232833&gubun=K,2021,27346,3750
현대,아이오닉6,아이오닉5 롱레인지  영업용,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233105&gubun=K,2021,69303,2799
현대,아이오닉7,아이오닉5  롱레인지 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227367&gubun=K,2021,112000,2900
현대,아이오닉8,아이오닉 5 N AWD,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232881&gubun=K,2023,12500,6600
현대,아이오닉9,아이오닉5  롱레인지 프레스티지?,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214555&gubun=K,2022,1600,5999
현대,에쿠스,에쿠스 4.5  VS 450,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233729&gubun=K,2009,210998,399
현대,에쿠스,뉴 에쿠스 3.8 VS380 럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228204&gubun=K,2010,182146,399
현대,에쿠스,뉴 에쿠스 3.8 VS380 럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232481&gubun=K,2011,97582,470
현대,에쿠스,뉴 에쿠스  5.0 리무진 VL 500 프레스티지?,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228569&gubun=K,2014,246968,1250
현대,에쿠스,뉴 에쿠스  5.0 리무진 VL 500 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230599&gubun=K,2009,231719,1790
현대,에쿠스,뉴 에쿠스 3.8 VS380 프레스티지 VIP팩Ⅰ,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231461&gubun=K,2015,141252,1950
현대,에쿠스,뉴 에쿠스 5.0 리무진 VL 500 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233668&gubun=K,2013,221559,599
현대,에쿠스,뉴 에쿠스 5.0 VS500 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228953&gubun=K,2011,226091,520
현대,에쿠스,뉴 에쿠스 3.8  VS380 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230154&gubun=K,2014,225345,770
현대,에쿠스,뉴 에쿠스  3.8 VS380 럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2224825&gubun=K,2011,102000,930
현대,에쿠스,뉴 에쿠스 3.8 VS380 프레스티지 VIP팩Ⅰ,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2223189&gubun=K,2011,171547,675
현대,에쿠스,뉴 에쿠스  3.8 VS380 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228527&gubun=K,2009,228763,475
현대,에쿠스,에쿠스 3.3  JS 330 럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233586&gubun=K,2006,186583,250
현대,에쿠스,뉴 에쿠스 3.8  VS380 프라임,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231973&gubun=K,2011,320000,550
현대,에쿠스,뉴 에쿠스 3.8 VS380 럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232673&gubun=K,2012,186400,350
현대,에쿠스,뉴 에쿠스  3.8 리무진 VL 380 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232399&gubun=K,2013,440500,800
현대,에쿠스,뉴 에쿠스 5.0 VS500 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232485&gubun=K,2013,165000,1500
현대,에쿠스,뉴 에쿠스 3.8  VS380 프레스티지 VVIP팩,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232210&gubun=K,2011,272000,900
현대,에쿠스,뉴 에쿠스  3.8 VS380 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231303&gubun=K,2013,136000,1289
현대,에쿠스,뉴 에쿠스  5.0 리무진 VL 500 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231302&gubun=K,2012,156000,850
현대,에쿠스,뉴 에쿠스  5.0 리무진 VL 500 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228569&gubun=K,2014,246968,1250
현대,제네시스,제네시스  BH380 로얄 VIP 팩,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2225876&gubun=K,2011,147000,850
현대,제네시스,제네시스 DH  G330 AWD 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231304&gubun=K,2014,72844,2050
현대,제네시스,제네시스  BH330 그랜드 프라임팩,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230326&gubun=K,2011,215160,380
현대,제네시스,제네시스 DH G330 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2224549&gubun=K,2014,199224,820
현대,제네시스,제네시스 DH G330 AWD 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231217&gubun=K,2015,91515,1120
현대,제네시스,제네시스 DH  G380 AWD 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2218590&gubun=K,2014,104918,2390
현대,제네시스,제네시스  BH380 로얄 VIP 팩,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226780&gubun=K,2011,116135,850
현대,제네시스,제네시스 DH  G330 AWD 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233428&gubun=K,2014,116563,2490
현대,제네시스,제네시스 BH380 로얄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2225263&gubun=K,2008,135000,379
현대,제네시스,제네시스 BH330 그랜드,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2225853&gubun=K,2009,134000,379
현대,제네시스,제네시스 DH G330 AWD  프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231601&gubun=K,2014,167000,1100
현대,제네시스,제네시스 BH380  로얄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232961&gubun=K,2008,150000,499
현대,제네시스,제네시스 DH  G330 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229302&gubun=K,2014,135769,1790
현대,제네시스,제네시스 DH G330 AWD 프리미엄,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232905&gubun=K,2014,181761,1080
현대,제네시스,제네시스 BH330  럭셔리,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231308&gubun=K,2012,254607,530
현대,제네시스,제네시스  BH330 그랜드 프라임팩,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230414&gubun=K,2008,166032,345
현대,제네시스,제네시스 DH G330 모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231544&gubun=K,2015,186095,1150
현대,제네시스,제네시스 DH  G380 AWD 프레스티지,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231512&gubun=K,2014,203000,1490
현대,제네시스,제네시스  BH380 로얄 VIP 팩,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2225644&gubun=K,2009,186360,490
현대,제네시스,제네시스 DH G330 AWD  모던,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233258&gubun=K,2014,230099,1050
현대,제네시스,제네시스 쿠페 2.0 터보 P,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230793&gubun=K,2009,130949,279
현대,제네시스,제네시스 쿠페  2.0 터보 R,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232376&gubun=K,2009,173992,550
현대,제네시스,더 뉴 제네시스 쿠페  2.0 터보 S,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232204&gubun=K,2015,79000,1490
현대,제네시스,더 뉴 제네시스 쿠페  3.8 GT R,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232127&gubun=K,2013,143000,1750
현대,제네시스,더 뉴 제네시스 쿠페 2.0 터보 D,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230790&gubun=K,2013,118616,990
현대,제네시스,제네시스 쿠페  3.8 GT P,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230848&gubun=K,2008,167000,1070
현대,제네시스,제네시스 쿠페 2.0 터보 P,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2225225&gubun=K,2010,78047,630
현대,제네시스,제네시스 쿠페  2.0 터보 P,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230143&gubun=K,2010,169300,690
현대,제네시스,제네시스 쿠페  3.8 GT P,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227354&gubun=K,2009,131870,890
현대,제네시스,제네시스 쿠페  3.8 GT R,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227308&gubun=K,2009,150000,825
현대,카운티,e-카운티 캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2224195&gubun=K,2010,264232,4650
현대,카운티,e-카운티 롱바디 39인승 어린이버스 디럭스,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2225202&gubun=K,2008,331017,890
현대,카운티,카운티 캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226225&gubun=K,2001,180000,3650
현대,카운티,카운티 캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2226229&gubun=K,2003,180000,3999
현대,카운티,카운티 캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227729&gubun=K,2002,330000,3650
현대,카운티,e-카운티 롱바디  25인승 자가용 슈퍼,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228483&gubun=K,2009,591134,1350
현대,카운티,뉴 카운티 장축 25인승 자가용 슈퍼,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229188&gubun=K,2018,51000,5500
현대,카운티,e-카운티 롱바디  29인승 자가용 슈퍼,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229700&gubun=K,2008,351169,1250
현대,카운티,뉴 카운티 장축 29인승 어린이버스 디럭스,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2230372&gubun=K,2020,40000,5790
현대,카운티,뉴 카운티  캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2221016&gubun=K,2013,74000,5350
현대,카운티,뉴 카운티  캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212015&gubun=K,2015,345000,5880
현대,카운티,뉴 카운티  캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212016&gubun=K,2023,832,11980
현대,카운티,e-카운티  캠핑카,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2233190&gubun=K,2009,33194,4880
